card_name,info_type,image_src,image_data_file_width,image_width,language_Rōmaji,image_height,info_number,info_lore,info_password,language_Japanese,image_data_file_height,info_atk_def,info_rarity,image_alt,language_Translated,info_card_type
Tyhone,Winged Beast,https://ms.yugipedia.com//d/d0/Tyhone-DM1-JP-VG.png,160,160,Taihōn,144,013,"Capable of firing cannonballs from its mouth for long-range attacks, this creature is particularly effective inmountainbattles. くちからほうだんをうちだし　とおくをこうげき　やまでのほうげきはつよい",,タイホーン,144,1200 / 1400,C,Tyhone-DM1-JP-VG.png,,
Battle Steer,Beast-Warrior,https://ms.yugipedia.com//1/1c/BattleSteer-DM1-JP-VG.png,160,160,Gyūmajin,144,014,"A bull monster often found in thewoods, it charges enemy monsters with a pair of deadly horns. もりにすむ　うしのまじん　つのをつきだし　とっしんしてこうげき",,ぎゅうまじん,144,1800 / 1300,A,BattleSteer-DM1-JP-VG.png,Bull Djinn,
Flame Swordsman,Warrior,https://ms.yugipedia.com//7/78/FlameSwordsman-DM1-JP-VG.png,160,160,Honō no Kenshi,144,015,A fighter gifted with the power of fire. Attacks enemies with a sword that launches flames. ほのおのちからを　あわせもつ　せんしほのおを　はなつけんで　こうげきする,,ほのおのけんし,144,1800 / 1600,S,FlameSwordsman-DM1-JP-VG.png,,
Time Wizard,Spellcaster,https://ms.yugipedia.com//a/af/TimeWizard-DM1-JP-VG.png,160,160,Toki no Majutsushi,144,016,"A sorcerer capable of bending time to his will. Though not powerful at first glance, appearances can be deceiving. じかんをじゆうにあやつる　まじゅつしどうみてもよわいが　かなりやくにたつ",,ときのまじゅつし,144,500 / 400,A,TimeWizard-DM1-JP-VG.png,,
R Leg of Forbidden,Spellcaster,https://ms.yugipedia.com//f/f5/RightLegoftheForbiddenOne-DM1-JP-VG.png,160,160,Fūinsareshimono no Migiashi,144,017,A forbidden right leg sealed by magic. Whosoever breaks this seal will knowinfinite power. ふういんされたみぎあし　ふういんをとくと　むげんのちからをえられる,,ふういんされしもののみぎあし,144,200 / 300,S,RightLegoftheForbiddenOne-DM1-JP-VG.png,Right Leg of the Sealed One,
L Leg of Forbidden,Spellcaster,https://ms.yugipedia.com//5/5d/LeftLegoftheForbiddenOne-DM1-JP-VG.png,160,160,Fūinsareshimono no Hidariashi,144,018,A forbidden left leg sealed by magic. Whosoever breaks this seal will knowinfinite power. ふういんされたひだりあし　ふういんをとくと　むげんのちからをえられる,,ふういんされしもののひだりあし,144,200 / 300,S,LeftLegoftheForbiddenOne-DM1-JP-VG.png,Left Leg of the Sealed One,
R Arm of Forbidden,Spellcaster,https://ms.yugipedia.com//e/e1/RightArmoftheForbiddenOne-DM1-JP-VG.png,160,160,Fūinsareshimono no Migiude,144,019,A forbidden right arm sealed by magic. Whosoever breaks this seal will know infinite power. ふういんされたみぎうで　ふういんをとくと　むげんのちからをえられる,,ふういんされしもののみぎうで,144,200 / 300,S,RightArmoftheForbiddenOne-DM1-JP-VG.png,Right Arm of the Sealed One,
L Arm of Forbidden,Spellcaster,https://ms.yugipedia.com//9/98/LeftArmoftheForbiddenOne-DM1-JP-VG.png,160,160,Fūinsareshimono no Hidariude,144,020,A forbidden left arm sealed by magic. Whosoever breaks this seal will knowinfinite power. ふういんされたひだりうで　ふういんをとくと　むげんのちからをえられる,,ふういんされしもののひだりうで,144,200 / 300,S,LeftArmoftheForbiddenOne-DM1-JP-VG.png,Left Arm of the Sealed One,
Exod. of Forbidden,Spellcaster,https://ms.yugipedia.com//5/5b/ExodiatheForbiddenOne-DM1-JP-VG.png,160,160,Fūinsareshi Ekuzodia,144,021,"If allfive cardsgather in thehandof the player, they win. くさりでしばられた　うでとあしをすべてあつめると　ふういんがとける",,ふういんされしエクゾディア,144,1000 / 1000,S,ExodiatheForbiddenOne-DM1-JP-VG.png,Sealed Exodia,
Summoned Skull,Fiend,https://ms.yugipedia.com//7/73/SummonedSkull-DM1-JP-VG.png,160,160,Dēmon no Shōkan,144,022,"Among theFiendclass of monsters, this is a pretty rare card. やみのちからで　こころをまどわす　あくまぞくでは　かなりのレアカード",,デーモンのしょうかん,144,2500 / 1200,S,SummonedSkull-DM1-JP-VG.png,Summoned Daemon,
The Wicked Worm B,Beast,https://ms.yugipedia.com//f/f7/TheWickedWormBeast-DM1-JP-VG.png,160,160,Ja'akunaru Wāmu Bīsuto,144,023,A monster worm created by the darkness. It appears suddenly. やみのちからで　ミミズがモンスターか　じめんから　とつぜんあらわれこうげき,,じゃあくなるワーム・ビースト,144,1400 / 700,C,TheWickedWormBeast-DM1-JP-VG.png,The Wicked Worm Beast,
Skull Servant,Zombie,https://ms.yugipedia.com//d/d1/SkullServant-DM1-JP-VG.png,160,160,Waito,144,024,A skeletal ghost that isn't strong but can mean trouble in large numbers. どこにでもでてくる　ガイコツのおばけ　こうげきはよわいがあつまるとたいへん,,ワイト,144,300 / 200,A,SkullServant-DM1-JP-VG.png,Wight,
Horn Imp,Fiend,https://ms.yugipedia.com//b/b7/HornImp-DM1-JP-VG.png,160,160,Inpu,144,025,"A small fiend that dwells in the dark, its single horn makes it a formidable opponent. やみにすむ　ちいさなオニ　こうげきは　いがいにつよい　つのにはちゅうい",,インプ,144,1300 / 1000,C,HornImp-DM1-JP-VG.png,Imp,
Battle Ox,Beast-Warrior,https://ms.yugipedia.com//b/b9/BattleOx-DM1-JP-VG.png,160,160,Minotaurusu,144,026,"A monster with tremendous power, it destroys enemies with a swing of its axe. すごいちからをもつ ウシのかいぶつ オノひとふりで なんでもなぎたおす",,ミノタウルス,144,1700 / 1000,B,BattleOx-DM1-JP-VG.png,Minotaur,
Beaver Warrior,Beast-Warrior,https://ms.yugipedia.com//d/da/BeaverWarrior-DM1-JP-VG.png,160,160,Ruīzu,144,027,What this creature lacks in size it makes up for indefensewhen battling in themeadow. からだはちいさいが そうげんでの しゅびりょくは かなりつよい,,ルイーズ,144,1200 / 1500,C,BeaverWarrior-DM1-JP-VG.png,Louise,
Rock Ogre Grotto#1,Rock,https://ms.yugipedia.com//d/d5/RockOgreGrotto1-DM1-JP-VG.png,160,160,Gankutsumajin Ōga Rokku,144,028,"Protected by a solid body of rock, this creature throws a bone-shattering punch. からだがいわのため しゅびはたかい ふというでの ひとふりにちゅうい",,がんくつまじんオーガ・ロック,144,800 / 1200,C,RockOgreGrotto1-DM1-JP-VG.png,Cave Djinn - Ogre Rock,
Mountain Warrior,Beast-Warrior,https://ms.yugipedia.com//8/82/MountainWarrior-DM1-JP-VG.png,160,160,Maunten Wōriā,144,029,A solid warrior that can move swiftly over rough terrain. あしばのわるいところでも ガンガンうごきまわる がんじょうなせんし,,マウンテン・ウォーリアー,144,600 / 1000,B,MountainWarrior-DM1-JP-VG.png,,
Zombie Warrior,Zombie,https://ms.yugipedia.com//e/e6/ZombieWarrior-DM1-JP-VG.png,160,160,Andetto Wōriā,144,030,"It appears weak, but it strikes with quick, sharp stabs. ガイコツせんし よわそうにみえるが すばやく するどいこうげきをくりだす",,アンデット・ウォーリアー,144,1200 / 900,A,ZombieWarrior-DM1-JP-VG.png,Undead Warrior,
Koumori Dragon,Dragon,https://ms.yugipedia.com//c/ca/KoumoriDragon-DM1-JP-VG.png,160,160,Debiru Doragon,144,031,"A vicious, fire-breathing dragon whose wicked flame corrupts the souls of its victims. きょうあくなドラゴン じゃあくなほのおをはき こころをじゃあくにする",,デビル・ドラゴン,144,1500 / 1200,D,KoumoriDragon-DM1-JP-VG.png,Devil Dragon,
Two-headed King Re,Dinosaur,https://ms.yugipedia.com//f/f8/TwoHeadedKingRex-DM1-JP-VG.png,160,160,Nitō o Motsu Kingu Rekkusu,144,032,An unusual and rarely seen two-headed dragon. きょうりゅうぞく さいきょうのレアカード 2つのあたまでどうじこうげき,,にとうをもつキング・レックス,144,1600 / 1200,S,TwoHeadedKingRex-DM1-JP-VG.png,Two-Headed King Rex,
Judge Man,Warrior,https://ms.yugipedia.com//8/89/JudgeMan-DM1-JP-VG.png,160,160,Jajji Man,144,033,A warrior that detests battles without a clear outcome. A blow from its huge club is extremely powerful. かちまけのない しょうぶが きらいな せんし こんぼうのこうげきはつよいぞ,,ジャッジ・マン,144,2200 / 1500,B,JudgeMan-DM1-JP-VG.png,,
Saggi the Dark Clo,Spellcaster,https://ms.yugipedia.com//3/30/SaggitheDarkClown-DM1-JP-VG.png,160,160,Yami Dōkeshi no Sagī,144,034,A sinister clown that appears as if from nowhere silently. It deftly evades attacks using strange motions. どこからともなくあらわれる どうけし ふしぎなうごきで こうげきをかわす,,やみ・どうけしのサギー,144,600 / 1500,B,SaggitheDarkClown-DM1-JP-VG.png,Saggi the Dark Clown,
D.Magician,Spellcaster,https://ms.yugipedia.com//7/70/DarkMagician-DM1-JP-VG.png,160,160,Burakku Majishan,144,035,The ultimate wizard in terms ofattackanddefense. まほうつかいとしては こうげきりょく しゅびりょくともに さいこうクラス,,ブラック・マジシャン,144,2500 / 2100,S,DarkMagician-DM1-JP-VG.png,Black Magician,
The Snake Hair,Zombie,https://ms.yugipedia.com//b/be/TheSnakeHair-DM1-JP-VG.png,160,160,Medyūsa no Bōrei,144,036,A monster with the head of a poisonous snake. One look will turn an unwary opponent to stone. どくヘビの あたまをもつ モンスター めをあわせると いしにされてしまう,,メデューサのぼうれい,144,1500 / 1200,D,TheSnakeHair-DM1-JP-VG.png,Medusa's Ghost,
Gaia the Dragon Ch,Dragon,https://ms.yugipedia.com//8/81/GaiatheDragonChampion-DM1-JP-VG.png,160,160,Ryūkishi Gaia,144,037,The knight's power and the Dragon's speed combine for best effect. ドラゴンのスピードに きしのちからがくわわり はげしいこうげきをしかける,,りゅうきしガイア,144,2600 / 2100,S,GaiatheDragonChampion-DM1-JP-VG.png,Gaia the Dragon Knight,
Gaia The Fierce Kn,Warrior,https://ms.yugipedia.com//6/65/GaiaTheFierceKnight-DM1-JP-VG.png,160,160,Ankokukishi Gaia,144,038,A knight whose horse travels faster than the wind. His battle-charge is a force to be reckoned with. かぜよりも はやくはしるウマにのった きし とっしんこうげきに ちゅうい,,あんこくきしガイア,144,2300 / 2100,S,GaiaTheFierceKnight-DM1-JP-VG.png,Gaia the Dark Knight,
Curse of Dragon,Dragon,https://ms.yugipedia.com//4/48/CurseofDragon-DM1-JP-VG.png,160,160,Kāsu Obu Doragon,144,039,A wicked dragon that taps into dark forces to execute a powerful attack. じゃあくなドラゴン やみのちからをつかったこうげきは きょうりょくだ,,カース・オブ・ドラゴン,144,2000 / 1500,S,CurseofDragon-DM1-JP-VG.png,,
Dragon Piper,Pyro,https://ms.yugipedia.com//8/87/DragonPiper-DM1-JP-VG.png,160,160,Tsubo Majin,144,040,A jar carved with strange patterns. It has a particularly highdefense factor. きみょうな もようが かかれたつぼ しゅびりょくは かなりのものがある,,つぼまじん,144,200 / 1800,B,DragonPiper-DM1-JP-VG.png,Jar Djinn,
Celtic Guardian,Warrior,https://ms.yugipedia.com//c/c4/CelticGuardian-DM1-JP-VG.png,160,160,Erufu no Kenshi,144,041,"An elf who learned to wield a sword, he baffles enemies with lightning-swift attacks. けんじゅつを まなんだエルフ すばやいうごきで てきをほんろうする",,エルフのけんし,144,1400 / 1200,D,CelticGuardian-DM1-JP-VG.png,Elf Swordsman,
Faceless Mage,Spellcaster,https://ms.yugipedia.com//0/02/IllusionistFacelessMage-DM1-JP-VG.png,160,160,Iryūjonisuto Nō Feisu,144,042,Manipulates enemies attacks with the power of illusion. A very rare card. げんえいをみせ ひらりとこうげきをかわす まぼろしのレアカード,,イリュージョニスト・ノー・フェイス,144,1200 / 2200,S,IllusionistFacelessMage-DM1-JP-VG.png,Illusionist No Face,
Karbonala Warrior,Warrior,https://ms.yugipedia.com//c/cd/KarbonalaWarrior-DM1-JP-VG.png,160,160,Karubonāra Senshi,144,043,A very average looking fighter with an unusually highattack factor. みためは ふつうのせんしだが つよい こうげきりょくを もっている,,カルボナーラせんし,144,1500 / 1200,A,KarbonalaWarrior-DM1-JP-VG.png,,
Rogue Doll,Spellcaster,https://ms.yugipedia.com//b/b1/RogueDoll-DM1-JP-VG.png,160,160,Hōrī Dōru,144,044,"A deadly doll gifted with mystical power, it is particularly powerful when attacking against dark forces. せいなるちからを あやつるにんぎょう やみでのこうげきは きょうりょくだ",,ホーリー・ドール,144,1600 / 1000,D,RogueDoll-DM1-JP-VG.png,Holy Doll,
Oscillo Hero #2,Thunder,https://ms.yugipedia.com//3/3f/Wattkid-DM1-JP-VG.png,160,160,Erekizzu,144,045,A creature that electrocutes opponents with bolts of lightning. かみなりこうげきは いがいとつよい あまくみると かんでんするぞ,,エレキッズ,144,1000 / 500,A,Wattkid-DM1-JP-VG.png,Eleckids,
Griffore,Beast,https://ms.yugipedia.com//a/ab/Griffore-DM1-JP-VG.png,160,160,Gurifōru,144,046,This monster's tough hide deflects almost any attack. かたいからだで まもることがとくい はんぱなこうげきは はじきかえす,,グリフォール,144,1200 / 1500,C,Griffore-DM1-JP-VG.png,,
Torike,Beast,https://ms.yugipedia.com//0/0f/Torike-DM1-JP-VG.png,160,160,Saigā,144,047,Not as tough as it looks in terms ofdefense. This monster's sharp horn gives it an edge whenattacking. しゅびは みためほど かたくないが つのによるこうげきは きょうりょくだ,,サイガー,144,1200 / 600,A,Torike-DM1-JP-VG.png,Saigar,
Sangan,Fiend,https://ms.yugipedia.com//1/10/Sangan-DM1-JP-VG.png,160,160,Kurittā,144,048,A small 3-eyed demon who can wield the power of darkness. 3つめの こがたあくま やみのなかで ちからを はっきすることができる,,クリッター,144,1000 / 600,A,Sangan-DM1-JP-VG.png,Critter,
Big Insect,Insect,https://ms.yugipedia.com//2/23/BigInsect-DM1-JP-VG.png,160,160,Bikku Anto,144,049,A giant ant that dwells in the jungle. Powerful in terms of bothattackanddefensefactor. みつりんにすむきょだいアリ こうげき しゅびともに いがいとつよい,,ビック・アント,144,1200 / 1500,D,BigInsect-DM1-JP-VG.png,Bic Ant,
Basic Insect,Insect,https://ms.yugipedia.com//1/1e/BasicInsect-DM1-JP-VG.png,160,160,Bēshikku Insekuto,144,050,"Usually found traveling in swarms, this creature's ideal environment is theforest. むれをなしてくらす こんちゅう もりのなかは かれらの らくえんだ",,ベーシック・インセクト,144,500 / 700,A,BasicInsect-DM1-JP-VG.png,,
Armored Lizard,Reptile,https://ms.yugipedia.com//2/22/ArmoredLizard-DM1-JP-VG.png,160,160,Āmā Rizādo,144,051,A lizard with a very tough hide and a vicious bite. かたいからだのトカゲ おおきなくちで かみつかれたら ひとたまりもないぞ,,アーマー・リザード,144,1500 / 1200,A,ArmoredLizard-DM1-JP-VG.png,Armor Lizard,
Hercules Beetle,Insect,https://ms.yugipedia.com//1/10/HerculesBeetle-DM1-JP-VG.png,160,160,Herakuresu Bītoru,144,052,A massive beetle with a tough carapace and a dangerous horn. きょだいカブトムシ つのこうげきと かたいからだの まもりはきょうりょく,,ヘラクレス・ビートル,144,1500 / 2000,B,HerculesBeetle-DM1-JP-VG.png,Heracles Beetle,
Killer Needle,Insect,https://ms.yugipedia.com//1/1a/KillerNeedle-DM1-JP-VG.png,160,160,Kirā Bī,144,053,A huge bee with exceptional strength that's particularly dangerous in a swarm. おおきなハチ いがいにつよいこうげきをする むれでおそわれると たいへん,,キラー・ビー,144,1200 / 1000,D,KillerNeedle-DM1-JP-VG.png,Killer Bee,
Gokibore,Insect,https://ms.yugipedia.com//c/cf/Gokibore-DM1-JP-VG.png,160,160,Gokibōru,144,054,"A large, spherical roach that attacks its enemies by rolling over them. まるいゴキブリ ゴロゴロころがって こうげき しゅびが いがいとたかいぞ",,ゴキボール,144,1200 / 1400,D,Gokibore-DM1-JP-VG.png,Roachball,
Giant Flea,Insect,https://ms.yugipedia.com//4/41/GiantFlea-DM1-JP-VG.png,160,160,Kyūketsu Nomi,144,055,A massive flea that feeds on the blood of its enemies. ちをすう きょだいノミ こうげきは かなりつよい ノミとあなどるときけん,,きゅうけつノミ,144,1500 / 1200,D,GiantFlea-DM1-JP-VG.png,Bloodsucking Flea,
Larvae Moth,Insect,https://ms.yugipedia.com//f/f0/LarvaeMoth-DM1-JP-VG.png,160,160,Rāba Mosu,144,056,"Very weak as a larvae. However, it grows to becomean enormous moth. ようちゅうのため かなりよわいが せいちょうすると きょだいなガになる",,ラーバモス,144,500 / 400,S,LarvaeMoth-DM1-JP-VG.png,,
Great Moth,Insect,https://ms.yugipedia.com//c/cd/GreatMoth-DM1-JP-VG.png,160,160,Gurētomosu,144,057,A huge moth that attacks by scattering flurries of toxic dust. It is quite powerful when encountered in aforest. きょだいなガ りんぷんをまきちらして こうげき もりではかなりきょうりょく,,グレートモス,144,2600 / 2500,S,GreatMoth-DM1-JP-VG.png,,
Kuriboh,Fiend,https://ms.yugipedia.com//a/ae/Kuriboh-DM1-JP-VG.png,160,160,Kuribō,144,058,"By itself, this creature may not seem like much. But in the dark, it attacks in numbers as a formidable force. ちいさなあくま くらやみで いっぱい でてくると とっても じゃまだ",,クリボー,144,300 / 200,A,Kuriboh-DM1-JP-VG.png,,
Mammoth Graveyard,Dinosaur,https://ms.yugipedia.com//5/57/MammothGraveyard-DM1-JP-VG.png,160,160,Manmosu no Hakaba,144,059,A mammoth that protects the graves of its pack and is absolutely merciless when facing grave-robbers. なかまの おはかをまもる マンモス はかあらしを ようしゃなく こうげき,,マンモスのはかば,144,1200 / 800,A,MammothGraveyard-DM1-JP-VG.png,,
Great White,Fish,https://ms.yugipedia.com//8/81/GreatWhite-DM1-JP-VG.png,160,160,Gurēto Howaito,144,060,A giant white shark with razor-sharp teeth. きょだいな しろいサメ おおきな くちでかみつかれたら のがれられない,,グレート・ホワイト,144,1600 / 800,D,GreatWhite-DM1-JP-VG.png,,
Wolf,Beast,https://ms.yugipedia.com//d/db/Wolf-DM1-JP-VG.png,160,160,Ookami,144,061,A rarely seen wolf with a powerful nose for catching the scent of an enemy. いまでは あまりみかけない オオカミ よくきくはなで えものをさがす,,オオカミ,144,1200 / 800,C,Wolf-DM1-JP-VG.png,,
Harpie Lady,Winged Beast,https://ms.yugipedia.com//a/ae/HarpieLady-DM1-JP-VG.png,160,160,Hāpyi Redi,144,062,This human-shaped animal with wings is beautiful to watch but deadly in battle. ひとにはねのはえたけもの うつくしくかれいにまい するどくこうげきをする,,ハーピィ・レディ,144,1300 / 1400,A,HarpieLady-DM1-JP-VG.png,,
Harpie Lady Sister,Winged Beast,https://ms.yugipedia.com//4/46/HarpieLadySisters-DM1-JP-VG.png,160,160,Hāpyi Redi Sanshimai,144,063,Three fierce sisters who relentlessly attack as a team. チームワークのよい さんしまい やすむまもなく こうげきをしかける,,ハーピィ・レディ　さんしまい,144,1950 / 2100,S,HarpieLadySisters-DM1-JP-VG.png,Harpie Lady Three Sisters,
Tiger Axe,Beast-Warrior,https://ms.yugipedia.com//c/c7/TigerAxe-DM1-JP-VG.png,160,160,Taigā Akkusu,144,064,A fast and powerful axe-wielding beast-warrior. オノをてにしたじゅうせんし すばやい うごきから くりだすこうげきはつよい,,タイガー・アックス,144,1300 / 1100,B,TigerAxe-DM1-JP-VG.png,,
Silver Fang,Beast,https://ms.yugipedia.com//b/b8/SilverFang-DM1-JP-VG.png,160,160,Shirubā Fongu,144,065,"A snow wolf that's beautiful to the eye, but absolutely vicious in battle. はくぎんにかがやくオオカミ みためは うつくしいが せいかくはきょうぼう",,シルバー・フォング,144,1200 / 800,A,SilverFang-DM1-JP-VG.png,,
Kojikocy,Warrior,https://ms.yugipedia.com//4/47/Kojikocy-DM1-JP-VG.png,160,160,Mamono no Kariudo,144,066,A man-hunter with powerful arms that can crush boulders. ひとをかる きょうあくな かりうど いわをもくだく つよいちからをもつ,,まもののかりうど,144,1500 / 1200,B,Kojikocy-DM1-JP-VG.png,Demon Hunter,
Perfectly Ultimate,Insect,https://ms.yugipedia.com//c/c9/PerfectlyUltimateGreatMoth-DM1-JP-VG.png,160,160,Kanzen Kyūkyokutai Gurētomosu,144,067,"The final incarnation of the ultimate insect, theGreat Moth! こんちゅうぞくさいきょうのモンスター グレートモスのさいしゅうけいたいだ！",,かんぜんきゅうきょくたいグレートモス,144,3500 / 3000,S,PerfectlyUltimateGreatMoth-DM1-JP-VG.png,Perfect Ultimate Great Moth,
Garoozis,Beast-Warrior,https://ms.yugipedia.com//5/52/Garoozis-DM1-JP-VG.png,160,160,Garūzasu,144,068,An axe-swinging beast-warrior with the head of a dragon. りゅうのあたまをもつ じゅうせんし オノのこうげきは かなりきょうりょく,,ガルーザス,144,1800 / 1500,A,Garoozis-DM1-JP-VG.png,,
Thousand Dragon,Dragon,https://ms.yugipedia.com//4/4e/ThousandDragon-DM1-JP-VG.png,160,160,Sauzando Doragon,144,069,A dragonthat has grown and developedover a thousand years. ドラゴンが いくせんねんもの ときをへて せいちょうしたすがた,,サウザンド・ドラゴン,144,2400 / 2000,S,ThousandDragon-DM1-JP-VG.png,,
Fiend Kraken,Aqua,https://ms.yugipedia.com//0/0b/FiendKraken-DM1-JP-VG.png,160,160,Debiru Kurāken,144,070,A massive squid that suddenly appears from the depths of the sea to attack unwary enemies. うみにひそむきょだいイカ かいちゅうからとつぜんあらわれ こうげきをする,,デビル・クラーケン,144,1200 / 1400,D,FiendKraken-DM1-JP-VG.png,Devil Kraken,
Jellyfish,Aqua,https://ms.yugipedia.com//7/71/Jellyfish-DM1-JP-VG.png,160,160,Jerīfisshu,144,071,"An almost invisible, semi-transparent jellyfish that drifts in the sea. うみをただようクラゲ はんとうめいの からだで すがたをかくにんしにくい",,ジェリーフィッシュ,144,1200 / 1500,D,Jellyfish-DM1-JP-VG.png,,
Cocoon of Evolutio,Insect,https://ms.yugipedia.com//4/42/CocoonofEvolution-DM1-JP-VG.png,160,160,Shinka no Mayu,144,072,It can take in aninsect larvaand make it evolve intomaturity. ようちゅうをとりこみ せいちゅうに しんかさせることができる,,しんかのまゆ,144,0 / 2000,S,CocoonofEvolution-DM1-JP-VG.png,Cocoon of Evolution,
Kairyu-shin,Sea Serpent,https://ms.yugipedia.com//a/a3/KairyuShin-DM1-JP-VG.png,160,160,Ribaiasan,144,073,"A sea dragon known as the King of the Ocean, it attacks its enemies with huge tidal waves. うみのぬしとよばれる うみのドラゴン つなみをおこして すべてをのみこむ",,リバイアサン,144,1800 / 1500,B,KairyuShin-DM1-JP-VG.png,Leviathan,
Giant Rock Soldier,Rock,https://ms.yugipedia.com//f/f4/GiantSoldierofStone-DM1-JP-VG.png,160,160,Ganseki no Kyohei,144,074,A giant warrior made of stone. A punch from this creature has earth-shaking results. がんせきのきょじんへい ふというでのこうげきは だいちをゆるがす,,がんせきのきょへい,144,1300 / 2000,D,GiantSoldierofStone-DM1-JP-VG.png,Giant Soldier of Stone,
Man-eating Plant,Plant,https://ms.yugipedia.com//a/aa/ManEatingPlant-DM1-JP-VG.png,160,160,Hitokui Shokubutsu,144,075,A meat-eating plant that is attractive to the eye but dangerous when approached. きれいなはなとおもわせ ちかづくひとをパクリとたべる にくしょくのはな,,ひとくいしょくぶつ,144,800 / 600,D,ManEatingPlant-DM1-JP-VG.png,,
